,latestPrice,zipcode,Count_Crimes
1464,409000.0,78732,70.0
1465,375000.0,78737,63.0
1466,767000.0,78750,5435.0
1467,820000.0,78733,23.0
1468,385000.0,78750,5435.0
1469,1075000.0,78730,1028.0
1470,419000.0,78737,63.0
1471,550000.0,78750,5435.0
1472,849000.0,78732,70.0
1473,675000.0,78750,5435.0
1474,774900.0,78739,1000.0
1475,460000.0,78732,70.0
1476,750000.0,78750,5435.0
1477,999900.0,78733,23.0
1478,389000.0,78732,70.0
1479,520000.0,78726,2580.0
1480,899000.0,78730,1028.0
1481,424000.0,78732,70.0
1482,455000.0,78726,2580.0
1483,439000.0,78737,63.0
1484,840000.0,78733,23.0
1485,529000.0,78732,70.0
1486,515000.0,78750,5435.0
1487,549000.0,78733,23.0
1488,369000.0,78717,3553.0
1489,475000.0,78750,5435.0
1490,716861.0,78732,70.0
1491,1099000.0,78730,1028.0
1492,494900.0,78737,63.0
1493,675000.0,78732,70.0
1494,1395000.0,78733,23.0
1495,469000.0,78726,2580.0
1496,310000.0,78750,5435.0
1497,479000.0,78732,70.0
1498,850000.0,78733,23.0
1499,525000.0,78737,63.0
1500,599000.0,78750,5435.0
1501,829000.0,78750,5435.0
1502,749000.0,78619,0.0
1503,975000.0,78732,70.0
1504,759983.0,78730,1028.0
1505,434900.0,78759,13881.0
1506,630000.0,78739,1000.0
1507,529900.0,78737,63.0
1508,749000.0,78732,70.0
1509,500000.0,78732,70.0
1510,535000.0,78739,1000.0
1511,699990.0,78730,1028.0
1512,800000.0,78732,70.0
1513,1299000.0,78732,70.0
1514,637500.0,78750,5435.0
1515,1025000.0,78619,0.0
1516,795000.0,78739,1000.0
1517,939980.0,78733,23.0
1518,699900.0,78750,5435.0
1519,415000.0,78732,70.0
1520,495000.0,78750,5435.0
1521,824900.0,78739,1000.0
1522,2995000.0,78733,23.0
1523,599900.0,78750,5435.0
1524,625000.0,78717,3553.0
1525,419900.0,78750,5435.0
1526,390000.0,78732,70.0
1527,399900.0,78733,23.0
1528,381900.0,78737,63.0
1529,519000.0,78730,1028.0
1530,519999.0,78732,70.0
1531,449900.0,78737,63.0
1532,775000.0,78750,5435.0
1533,732000.0,78732,70.0
1534,475000.0,78737,63.0
1535,545800.0,78726,2580.0
1536,584900.0,78737,63.0
1537,305000.0,78717,3553.0
1538,739997.0,78732,70.0
1539,750000.0,78732,70.0
1540,529900.0,78732,70.0
1541,539900.0,78737,63.0
1542,689000.0,78732,70.0
1543,566500.0,78732,70.0
1544,519444.0,78737,63.0
1545,425000.0,78732,70.0
1546,624800.0,78619,0.0
1547,550000.0,78732,70.0
1548,484900.0,78737,63.0
1549,745000.0,78732,70.0
1550,459900.0,78737,63.0
1551,875000.0,78732,70.0
1552,1750000.0,78739,1000.0
1553,399500.0,78737,63.0
1554,895000.0,78732,70.0
1555,879000.0,78732,70.0
1556,878000.0,78739,1000.0
1557,3500000.0,78737,63.0
1558,750000.0,78619,0.0
1559,550000.0,78732,70.0
1560,589000.0,78737,63.0
1561,449900.0,78737,63.0
1562,499900.0,78737,63.0
1563,549900.0,78739,1000.0
1564,635900.0,78737,63.0
1565,572500.0,78737,63.0
1566,620000.0,78739,1000.0
1567,430000.0,78737,63.0
1568,454700.0,78737,63.0
1569,810000.0,78737,63.0
1570,840000.0,78739,1000.0
1571,639444.0,78737,63.0
1572,428500.0,78737,63.0
1573,479000.0,78737,63.0
1574,435000.0,78737,63.0
1575,448843.0,78737,63.0
1576,469900.0,78737,63.0
1577,749000.0,78737,63.0
1578,449700.0,78737,63.0
1579,490000.0,78737,63.0
1580,785000.0,78619,0.0
1581,429900.0,78737,63.0
1582,689990.0,78619,0.0
1583,524444.0,78737,63.0
1584,255000.0,78737,63.0
1585,364500.0,78737,63.0
1586,720000.0,78619,0.0
1587,799000.0,78739,1000.0
1588,549900.0,78737,63.0
1589,539000.0,78737,63.0
1590,580000.0,78737,63.0
1591,530000.0,78737,63.0
1592,620000.0,78737,63.0
1593,500000.0,78737,63.0
1594,499900.0,78737,63.0
1595,389900.0,78737,63.0
1596,985000.0,78737,63.0
1597,1200000.0,78619,0.0
1598,359999.0,78737,63.0
1599,545000.0,78737,63.0
1600,551785.0,78739,1000.0
1601,439900.0,78737,63.0
1602,599000.0,78737,63.0
1603,480000.0,78737,63.0
1604,319999.0,78737,63.0
1605,460000.0,78737,63.0
1606,789000.0,78739,1000.0
1607,484900.0,78737,63.0
1608,759900.0,78737,63.0
1609,539000.0,78737,63.0
1610,379900.0,78737,63.0
1611,645000.0,78739,1000.0
1612,574900.0,78737,63.0
1613,775000.0,78737,63.0
1614,740000.0,78737,63.0
1615,629900.0,78739,1000.0
1616,650000.0,78619,0.0
1617,560000.0,78737,63.0
1618,589999.0,78737,63.0
1619,675000.0,78737,63.0
1620,475000.0,78737,63.0
1621,295400.0,78737,63.0
1622,512810.0,78737,63.0
1623,515000.0,78737,63.0
1624,915000.0,78739,1000.0
1625,750000.0,78739,1000.0
1626,449000.0,78737,63.0
1627,875000.0,78739,1000.0
1628,415000.0,78737,63.0
1629,669000.0,78739,1000.0
1630,450000.0,78737,63.0
1631,625000.0,78737,63.0
1632,589900.0,78739,1000.0
1633,419900.0,78737,63.0
1634,650000.0,78737,63.0
1635,619000.0,78739,1000.0
1636,610000.0,78739,1000.0
1637,505000.0,78737,63.0
1638,460000.0,78739,1000.0
1639,664000.0,78739,1000.0
1640,799000.0,78737,63.0
1641,485000.0,78737,63.0
1642,525000.0,78737,63.0
1643,630000.0,78739,1000.0
1644,585000.0,78737,63.0
1645,585000.0,78737,63.0
1646,563900.0,78737,63.0
1647,604000.0,78739,1000.0
1648,585000.0,78737,63.0
1649,584444.0,78737,63.0
1650,824500.0,78739,1000.0
1651,899000.0,78737,63.0
1652,509900.0,78737,63.0
1653,485000.0,78737,63.0
1654,459900.0,78737,63.0
1655,584500.0,78737,63.0
1656,399900.0,78737,63.0
1657,345000.0,78737,63.0
1658,514444.0,78737,63.0
1659,525000.0,78737,63.0
1660,439900.0,78737,63.0
1661,500000.0,78737,63.0
1662,455000.0,78737,63.0
1663,425000.0,78737,63.0
1664,400000.0,78737,63.0
1665,475000.0,78737,63.0
1666,395000.0,78737,63.0
1667,409900.0,78737,63.0
1668,399999.0,78737,63.0
1669,599000.0,78737,63.0
1670,429000.0,78737,63.0
1671,525000.0,78737,63.0
1672,425000.0,78737,63.0
1673,425000.0,78737,63.0
1674,368500.0,78737,63.0
1675,569444.0,78737,63.0
1676,399900.0,78737,63.0
1677,529900.0,78737,63.0
1678,354900.0,78737,63.0
1679,550000.0,78737,63.0
1680,1395000.0,78739,1000.0
1681,560000.0,78737,63.0
1682,755834.0,78737,63.0
1683,609000.0,78737,63.0
1684,609500.0,78739,1000.0
1685,364000.0,78737,63.0
1686,364000.0,78737,63.0
1687,424900.0,78739,1000.0
1688,539900.0,78737,63.0
1689,512000.0,78737,63.0
1690,835000.0,78739,1000.0
1691,500000.0,78737,63.0
1692,539900.0,78737,63.0
1693,520000.0,78737,63.0
1694,649000.0,78737,63.0
1695,549999.0,78737,63.0
1696,650000.0,78737,63.0
1697,569444.0,78737,63.0
1698,429999.0,78737,63.0
1699,580000.0,78737,63.0
1700,1099000.0,78737,63.0
1701,469900.0,78737,63.0
1702,479900.0,78737,63.0
1703,439900.0,78737,63.0
1704,579444.0,78737,63.0
1705,524900.0,78737,63.0
1706,849900.0,78739,1000.0
1707,399500.0,78737,63.0
1708,600000.0,78739,1000.0
1709,619000.0,78737,63.0
1710,599900.0,78739,1000.0
1711,380000.0,78737,63.0
1712,639990.0,78739,1000.0
1713,199000.0,78737,63.0
1714,475000.0,78737,63.0
1715,409975.0,78737,63.0
1716,415000.0,78737,63.0
1717,449900.0,78737,63.0
1718,750000.0,78730,1028.0
1719,1058000.0,78730,1028.0
1720,735000.0,78750,5435.0
1721,975000.0,78759,13881.0
1722,884000.0,78750,5435.0
1723,565000.0,78759,13881.0
1724,675000.0,78759,13881.0
1725,775000.0,78730,1028.0
1726,605000.0,78759,13881.0
1727,775000.0,78750,5435.0
1728,540000.0,78759,13881.0
1729,705000.0,78750,5435.0
1730,1500000.0,78759,13881.0
1731,369900.0,78730,1028.0
1732,536000.0,78759,13881.0
1733,1013000.0,78759,13881.0
1734,510000.0,78730,1028.0
1735,679000.0,78759,13881.0
1736,665000.0,78730,1028.0
1737,649900.0,78759,13881.0
1738,550000.0,78730,1028.0
1739,775000.0,78759,13881.0
1740,575000.0,78730,1028.0
1741,525000.0,78759,13881.0
